CardCode	CardName	CardType	GroupCode	Phone1	Phone2	EmailAddress	CardForeignName
CardCode	CardName	CardType	GroupCode	Phone1	Phone2	E_Mail	CardFName
F00001	3M7 IT Services - Soluções em Informatica LTDA ME 	S	153	99236-5206	11	fcurvelo@3m7.com.br	3M7
F00002	Companhia Brasileira de Soluções e Serviços 	S	154	4003-7779	11	atendimentoempresa@alelo.com.br	Alelo Benefícios 
F00003	Irmãos Cardoso Dedetizadora LTDA ME 	S	155	98187-1898	11	comercial@alvodedetizadora.com.br	Alvo Dedetizadora 
F00004	Ambitrans Transportes LTDA 	S	156				AmbiTrans 
F00005	APX Segurança e Med. Do Trabalho e Com. De Equip. de Proteção Indiv. E Coletiva S/S LTDA	S	157	95910-2785	11	claudia@apxsegmed.com.br	APX
F00006	Contmed Contabilidade Especializada SS 	S	164	3469-8789	11	cfujisawa@contmed.com.br	Contmed
F00007	Contsaude Controladoria Especializada 	S	158	99975-1186	11	cfujisawa@contmed.com.br	Contsaude 
F00008	Dias Carneiro Advogados	S	159	3087-2119	11	amr@diascarneiro.com.br	Dias Carneiro
F00009	Signallink Informática LTDA 	S	160	3318-1889	41	tduarte@directcall.com.br	Direct Call 
F00010	Diego Pontoglio Meneghetti	S	161	99862-2193	11	diego@estudioteca.com	Estudioteca 
F00011	Gestão de Assistencia Hospitalar Domiciliar LTDA 	S	162	99986-5094	11	gerenciaadm@gapcare.com.br	Nova Gap Care 
F00012	Gupy Tecnologia em Recrutamento LTDA 	S	163			mariana@gupy.com.br	Gupy
F00013	RC WO Consultoria Empresarial 	S	163			roberta.wo@hrproject.com.br	HR Project 
F00014	Humana Palavra Treinamentos Profissionais LTDA 	S	164				Humana Palavra
F00015	Interativa Contábil 	S	158	98486-4929	11	samanta.souza@interativa.srv.br	Interativa 
F00016	Iberwan do Brasil Informatica LTDA 	S	165	99978-6879	11	daniel.torres@acasahumana.com.br	IW 
F00017	Lina Marketing Digital LTDA 	S	161			thana@emaildalina.com.br	Lina Marketing 
F00018	Macromed Medicina Ocupacional e Engenharia de Segurança do Trabalho LTDA 	S	157	99939-4695	11	marlene@macromedsst.com.br	Macromed 
F00019	Marcas com Sal Estrategia Criativa LTDA 	S	161	2528-5642	11	ana.moura@marcascomsal.com.br	Marcas com Sal 
F00020	DC Matrix Internet LTDA 	S	165	97028-0898	11	tiago.santos@matrix.net.br	Matrix 
F00021	Onix Gestão e Treinamento de Pessoas LTDA ME 	S	162	98430-0237	11	contato@onixgestao.com.br	Onix
F00022	Plenum HR LTDA 	S	166	98430-0237	11	regiane@plenumhr.com.br	Plenum
F00023	Saude One Programas de Computadores LTDA 	S	165	99275-1111	11	marcos.pasin@saudeone.net 	Saude One 
F00024	Tangerino Tecnologia LTDA 	S	167	7534-9228	31	marlongomes@tangerino.com.br	Sólides Tangerino 
F00025	TC Clima Ar Condicionado Facilities 	S	168	98837-4920	11	william@tc-clima.com.br	TC Clima 
F00026	Titan Serviços de Motos e Transportes LTDA 	S	156	93928-0730	11	vendas.sp@titanexpress.com.br	Titan Express 
F00027	Upgrade Outsourcing LTDA ME 	S	168	97569-1702	11	suporte@upgradeshop.com.br	Upgrade 
F00028	Uitalo e Jean Informatica LTDA 	S	160	96818-5418	11	uitalo.mendes@usms.com.br	USMS 
F00029	54.431.076 JANETE VIEIRA ALBUQUERQUE DE OLIVEIRA	S	169			janconsultoria10@gmail.com	Janete Vieira 
F00030	99 TECNOLOGIA LTDA	S	156			financeiro@99taxis.com	99 
F00031	A R S SERVICOS MEDICOS LTDA	S	169			santana.ar@gmail.com	Adriell Santana 
F00032	AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.	S	170			ajuda-amazon@amazon.com.br	Amazon
F00033	AMC - ADVANCED MEDICAL CARE SERV SAUDE LTDA.	S	171			financeiro@grupoamc.com.br	AMC
F00034	ANAVRIN PSICOLOGIA LTDA	S	169			angelicasilveira1710@gmail.com	
F00035	ANDRESSA CONSENTINO VIEIRA BRUNORO FONOAUDIOLOGIA	S	169			andy.fono@gmail.com	Andressa Consentino 
F00036	ANTONIO ROBLES JUNIOR	S	169			roblesjr@usp.br	Antonio Robles 
F00037	ASPEN JALECOS E ROUPAS PROFISSIONAIS EIRELI	S	172			651@aspenjalecos.com.br	Aspen Jalecos 
F00038	BF DA CUNHA FISIOTERAPIA	S	169			grandoctors@gmail.com	
F00039	BUDICIN E PANICO SERVICOS MEDICOS S/S LTDA	S	169			arlete@plug2.com.br	Budicin e Panico 
