Series	CardCode	CardName	CardType	GroupCode	Phone1	Phone2	EmailAddress	CardForeignName
Series	CardCode	CardName	CardType	GroupCode	Phone1	Phone2	E_Mail	CardFName
73	F00142	Ambitrans Transportes LTDA 	S	156				AmbiTrans 
73	F00143	Titan Serviços de Motos e Transportes LTDA 	S	156	93928-0730	11	vendas.sp@titanexpress.com.br	Titan Express 
73	F00144	99 TECNOLOGIA LTDA	S	156			financeiro@99taxis.com	99 
73	F00145	AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.	S	170			ajuda-amazon@amazon.com.br	Amazon
73	F00146	AMC - ADVANCED MEDICAL CARE SERV SAUDE LTDA.	S	171			financeiro@grupoamc.com.br	AMC
73	F00147	CASA PROTECT VAREJISTAS DE DESCARTAVEIS LTDA	S	170			protect@hotmail.com.br	Casa Protect 
73	F00148	CM HOSPITALAR S.A.	S	170			fiscal@mafrahospitalar.com.br	CM Hospitalar 
73	F00149	CMW SAUDE & TECNOLOGIA IMP E EXP LTDA	S	170			societario@solucont.com.br	
73	F00150	COMERCIAL CIRURGICA RIOCLARENSE LTDA	S	170			lilian.ribeiro@rioclarense.com.br	
73	F00151	DROGARIA NOSSA SAUDE LTDA	S	170			carlos@informarcontabil.com.br	Drogaria Nossa Saude 
73	F00152	DUPATRI HOSP COM IMP E EXPORTACAO LTDA.	S	170			fiscal.medicamentos@grupoelfa.com.br	Dupatri
73	F00153	ELFA MEDICAMENTOS S.A.	S	170			fiscal.medicamentos@grupoelfa.com.br	
73	F00154	ELO NUTRICAO LTDA	S	170			patricia.fan@elonutricao.com.br	
73	F00155	EMPORIO MEDICO  HOSPITALARES LTDA	S	170			gilmar.rocha@grupoemporio.com.br	
73	F00156	EXPRESSMEDICAL COMERCIO  VAREJISTA  MEDICOS LTDA	S	170			vanessa@aboimcontabilidade.com.br	
73	F00157	FLEURY S.A.	S	178				Fleury
73	F00158	GLOBOMED COMERCIAL LTDA	S	170			leandro.teixeira@confirp.com	Globomed
73	F00159	HDL LOGISTICA HOSPITALAR LTDA.	S	170			telmo@hdlhospitalar.com.br	
73	F00160	HOSPFAR  PRODUTOS HOSPITALARES S.A.	S	170			fiscal@hospfar.com.br	Hospfar
73	F00161	HOSPHARMA MEDICAMENTOS	S	170				Hospharma
73	F00162	IMPACTO PRODUTOS MEDICOS E HOSPITALARES LTDA	S	170			esc.atlantida@uol.com.br	
73	F00163	KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA	S	170			fabianapaula@kalunga.com.br	Kalunga 
73	F00164	KEEPCARE EQUIPAMENTOS E PRODUTOS MEDICOS LTDA	S	181			administrativo@keepcaresaude.com.br	Keep Care
73	F00165	LOCASET LOCADORA DE APARELHOS LTDA	S	182				Locaset
73	F00166	LUMIAR EQUIPAMENTOS HOSPITALARES LTDA	S	181			fiscal.sede@lumiarsaude.com.br	Lumiar 
73	F00167	MED PRONTO LTDA	S	170			medpronto@hotmail.com	Med Pronto
73	F00168	MEDICAMENTAL HOSPITALAR LTDA	S	170			thiago.morgado@medicamental.com.br	Medicamental Hospitalar 
73	F00169	MOLNLYCKE HEALTH CARE VENDA DE PRO MED LTDA	S	170			rafael.machado@molnlycke.com	
73	F00170	NACIONAL COMERCIAL HOSPITALAR S.A.	S	170			bruno.grabert@atrialsaude.com	
73	F00171	NAIR DA CONCEICAO BERNARDO	S	156			magoexpress@hotmail.com	
73	F00172	NEWMED PRODUTOS PARA SAUDE LTDA	S	170				Newmed Produtos 
73	F00173	NURSECARE COM DE EQUIP MEDICO-HOSPITALARES LTDA	S	185			sycon@sycon.com.br	Nurse Care
73	F00174	NUTRIMENTO COMERCIO DE PROD NUTRICIONAIS LTDA	S	170			vera.staffer@uol.com.br	Nutrimento 
73	F00175	NUTRIPORT COMERCIAL LTDA.	S	170			helio.damasio@nutriport.com.br	Nutriport 
73	F00176	OSTEO SOLUTION - COMERCIO, HOSPITALARES LTDA.	S	170			osteos@osteos.com.br	
73	F00177	PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA	S	170			carlos.paulo@gruposc.com.br	Panpharma Distribuidora 
73	F00178	POLITEC IMPORTACAO E COMERCIO LIMITADA	S	186			politec@politec.net	Politec 
73	F00179	PROMED SANTA ANGELA COMERCIO E REMOCOES LTDA	S	171			promedsa@promedsa.com.br	Promed
73	F00180	RX CARE RADIOLOGIA LTDA	S	188			CONTATO@RXCARE.COM.BR	Rx Care
73	F00181	SUPERMED COM E IMPORT DE PROD MED E HOSP LTDA	S	170			contabil03@supermed.net.br	Supermed
73	F00182	SUPREVIDA FRANCHISING LTDA	S	170			sac@veritta.com.br	Suprevida 
73	F00183	SUPRI ARTIGOS MEDICO-HOSPITALARES LTDA	S	170			contato@supriartigosmedicos.com.br	
73	F00184	SUPRICORP SUPRIMENTOS LTDA	S	170			ebaltar@remaza.com.br	
73	F00185	ULTRAMOBI DIAGNOSTICOS LTDA	S	188			contato@mobimagem.com	Ultramobi
