CardCode	CardName	CardType	GroupCode	Phone1	Phone2	EmailAddress	CardForeignName
CardCode	CardName	CardType	GroupCode	Phone1	Phone2	E_Mail	CardFName
FOR0001	CRISTALIA PROD. QUIM. FARMACEUTICOS LDTA	S	101	3863-9523	19	luciana.malandrin@cristalia.com.br	CRISTALIA
FOR0002	SUPERMED COM. E IMP. DE PROD. MED. E HOSPIT. LTDA	S	101	4934-1700	11	supermed@supermed.net.br	SUPERMED
FOR0003	HOSPIDROGAS COMERCIO DE PRODUTOS HOSPITALARES LTDA	S	101	3229-1000	27	administrativo@hospidrogas-es.com.br	HOSPIDROGAS
FOR0004	FRESENIUS KABI BRASIL LTDA	S	101	2504-1400	11	ricardo.osorio@fresenius-kabi.com	FRESENIUS
FOR0005	MEDICAMENTAL HOSPITALAR LTDA	S	101	3505-4900	16	hospitalar@medicamental.com.br	MEDICAMENTAL
FOR0006	KARNINKE & SPAGNOL ADVOGADOS ASSOCIADOS	S	101	3026-6902	27	leonardo@vksadvogados.com.br	KARNINKE & SPAGNOL 
FOR0007	ATIVA COMERCIAL HOSPITALAR LTDA	S	101	3993-9100	16	financeiro@ativahosp.com.br/ vendas@ativahosp.com.br (vendas)	ATIVA COMERCIAL HOSPITALAR 
FOR0008	BELIVE MEDICAL PRODUTOS HOSPITALARES LTDA	S	101	3222-2691	31	administracao1@belivemedical.com.br	BELIVE MEDICAL
FOR0009	BIOHOSP PRODUTOS HOSPITALARES LTDA	S	101	2536-0333	31	"leonardo@helpfarma.com.br; licitacao01@biohosp.com.br"	BIOHOSP
FOR0010	C B S MEDICO CIENTIFICA COMERCIO E REPRESENTACAO LTDA	S	101	3347-2700	11	cbs@cbsmed.com.br	C.B.S. MEDICO CIENTIFICA S/A
FOR0011	CEI COMERCIO EXPORTACAO E IMP DE MAT MEDICOS LTDA	S	101	3528-0150	21	tatiane.pagiola@cei-brasil.com 	CEI COMERCIO EXPORTACAO
FOR0012	COMERCIAL ANAZUS LTDA - ME	S	101	99788-9998	27	comercial@cirurgicabomviver.com.br	PAPELARIA E PERFUMARIA BONVIVER
FOR0013	CIRURGICA CONFIANCA LTDA	S	101	99957-3955	27	confianca@cirurgicaconfianca.com.br	CIRURGICA CONFIANCA
FOR0014	COMERCIAL CIRURGICA RIOCLARENSE LTDA	S	101	3522-5800	19	lilian.ribeiro@rioclarense.com.br	COMERCIAL RIOCLARENSE
FOR0015	CONCEPT COMERCIO DE PRODUTOS HOSPITALARES LTDA	S	101	99943-9299	27	contato@concepthospitalar.com.br/ gustavo@concepthospitalar.com.br	CONCEPT COMERCIO DE PRODUTOS HOSPITALARES LTDA
FOR0016	COSTA CAMARGO COMÉRCIO DE PRODUTOS HOSPITALARES LTDA	S	101	3320-2207	27	vendas1@costacamargo.com.br	COSTA CAMARGO COM PROD HOSP LTDA
FOR0017	DISTRILAF DISTRIBUIDORA DE MEDICAMENTOS LTDA	S	101	3764-5600	31	gerentesuprimentos@diatrilaf.com.br/ financeiro2@distrilaf.com.br	DISTRILAF MEDICAMENTOS
