Series	ItemCode	U_COD_ANTIGO	ItemName	ForeignName	ItemsGroupCode	PurchaseItem	SalesItem	InventoryItem	SalesUnit	PurchaseUnit	InventoryUOM	ItemClass
Series	ItemCode	U_COD_ANTIGO	ItemName	FrgnName	ItmsGrpCod	PrchseItem	SellItem	InvntItem	SalUnitMsr	BuyUnitMsr	InvntryUom	ItemClass
83	EQUIP000001	78338805	APARELHO DE ANESTESIA WATO EX-35 ADV	APARELHO DE ANESTESIA WATO EX-35 ADV	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000002	78338960	AR CONDICIONADO SPRINGER HW	AR CONDICIONADO SPRINGER HW	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000003	78339053	CELULA DE OXIGENIO	CELULA DE OXIGENIO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000004	78338810	EXTENSÃO PARA AR COMPRIMIDO 5 METROS ROSA DISS	EXTENSÃO PARA AR COMPRIMIDO 5 METROS ROSA DISS	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000005	78339086	ALICATE PARA BOMBA DAGUA	ALICATE PARA BOMBA DAGUA	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000006	78338805	APARELHO DE ANESTESIA WATO EX-35 ADV	APARELHO DE ANESTESIA WATO EX-35 ADV	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000007	78338960	AR CONDICIONADO SPRINGER HW	AR CONDICIONADO SPRINGER HW	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000008	78338804	ARMARIO AEREO 120CM 3 PORTAS EVIDENCE POLIMAN	ARMARIO AEREO 120CM 3 PORTAS EVIDENCE POLIMAN	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000009	78338961	ARMARIO DE ACO 02 PORTAS 04 PRATELEIRAS	ARMARIO DE ACO 02 PORTAS 04 PRATELEIRAS	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000010	78339076	ARMARIO MULTIUSO BORDO 2PTS C/CHAVE-SEVILHA	ARMARIO MULTIUSO BORDO 2PTS C/CHAVE-SEVILHA	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000011	50332	ASPIRADOR P/ REDE DE VACUO	ASPIRADOR P/ REDE DE VACUO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000012	78338943	BALA PIETRO	BALA PIETRO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000013	78338893	BALANÇA COM ALCA DE TRANSPORTE	BALANÇA COM ALCA DE TRANSPORTE	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000014	78338962	BOLA  DE PILATES CINZA	BOLA  DE PILATES CINZA	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000015	78338963	BOLA DE MASSAGEM LIBERAÇÃO MIOFASCIAL	BOLA DE MASSAGEM LIBERAÇÃO MIOFASCIAL	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000016	78339018	BOMA PRESS CONJ CENT TPC-58 B-10 0,5CV M 220V T HEBE	BOMA PRESS CONJ CENT TPC-58 B-10 0,5CV M 220V T HEBE	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000017	78338964	BOMBAS DE ENCHER	BOMBAS DE ENCHER	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000018	78338965	BOUGANVILLE	BOUGANVILLE	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000019	78338966	CABO ADULTO PARA LARINGOSCOPIO CONVENCIONAL LT	CABO ADULTO PARA LARINGOSCOPIO CONVENCIONAL LT	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000020	78339052	CABO PARA CELULA DE 02 WATO 20/30/35	CABO PARA CELULA DE 02 WATO 20/30/35	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000021	78339108	CAPA PARA BIOMBOS TRIPLOS HOSP. EM PVC + BOTÕES	CAPA PARA BIOMBOS TRIPLOS HOSP. EM PVC + BOTÕES	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000022	78339053	CELULA DE OXIGENIO	CELULA DE OXIGENIO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000023	78338967	CELULAR SAMSUNG	CELULAR SAMSUNG	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000024	78339048	CHALEIRA ELETRICA  1,8LT-127V	CHALEIRA ELETRICA  1,8LT-127V	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000025	78335179	CIRCUITO PASSIVO ADULTO	CIRCUITO PASSIVO ADULTO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000026	78338807	CIRCUITO RESPIRATORIO ADULTO EM SILICONE P/ VENTILADOR DE TRANSP	CIRCUITO RESPIRATORIO ADULTO EM SILICONE P/ VENTILADOR DE TRANSP	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000027	78338968	COLCHONETE ABDOMINAL ACADEMIA GINASTICA NAPA	COLCHONETE ABDOMINAL ACADEMIA GINASTICA NAPA	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000028	50338	CONECTOR COM VALVULA EXALATORIA PARA BIPAP/CPAP	CONECTOR COM VALVULA EXALATORIA PARA BIPAP/CPAP	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000029	78338808	CONECTOR EM Y ADULTO 90G AUTOCLAVAVEL ANEST	CONECTOR EM Y ADULTO 90G AUTOCLAVAVEL ANEST	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000030	78338969	CONTROL BOX REPLACEMENT KIT	CONTROL BOX REPLACEMENT KIT	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000031	78338970	DISCO PILATES EQUILIBRIO INFLAVEL FISIOTERAPIA	DISCO PILATES EQUILIBRIO INFLAVEL FISIOTERAPIA	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000032	78338757	DISCO SOLIDO SSD 240GB SANDISK	DISCO SOLIDO SSD 240GB SANDISK	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000033	50548	DOSADOR AUTOMATICO PARA OPTICARE SS ESPUMA	DOSADOR AUTOMATICO PARA OPTICARE SS ESPUMA	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000034	78338702	ESCADA DE CANTO CLASSIC	ESCADA DE CANTO CLASSIC	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000035	50334	ESPAÇO MORTO LUMIAR	ESPAÇO MORTO LUMIAR	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000036	78338971	EVAP SPRINGER HW	EVAP SPRINGER HW	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000037	78338810	EXTENSÃO PARA AR COMPRIMIDO 5 METROS ROSA DISS	EXTENSÃO PARA AR COMPRIMIDO 5 METROS ROSA DISS	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000038	78338811	EXTENSAO PARA N20 5 METROS ROSCA DISS	EXTENSAO PARA N20 5 METROS ROSCA DISS	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000039	78338812	EXTENSAO PARA OXIGENIO 5 METROS ROSCA DISS	EXTENSAO PARA OXIGENIO 5 METROS ROSCA DISS	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000040	78335180	FILTRO BACTERIOLÓGICO SEM TRAQUEIA PARA VTL	FILTRO BACTERIOLÓGICO SEM TRAQUEIA PARA VTL	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000041	78338907	FILTRO CO2 VITA	FILTRO CO2 VITA	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000042	50330	FLUXOMETRO 0 A 15 L MIN P/ OXIGENIO	FLUXOMETRO 0 A 15 L MIN P/ OXIGENIO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000043	78338951	GAS DUPONT SUVA 410A DAC 11,35KG	GAS DUPONT SUVA 410A DAC 11,35KG	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000044	50549	INTRODUTOR BOUGIE VENTILADO ( CELMAT)	INTRODUTOR BOUGIE VENTILADO ( CELMAT)	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000045	78338759	KIT EXERCICIOS PERNA TORNOZELEIRA PAR 1KG+2KG+3KG PESO	KIT EXERCICIOS PERNA TORNOZELEIRA PAR 1KG+2KG+3KG PESO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000046	78338933	LEITOR CODIGO DE BARRAS MANUAL 1D BERMATECH	LEITOR CODIGO DE BARRAS MANUAL 1D BERMATECH	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000047	78338758	MEMORIA 8GB DDR4 2666	MEMORIA 8GB DDR4 2666	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000048	78338665	MESA DE INSTRUMENTALIZAÇÃO INOX	MESA DE INSTRUMENTALIZAÇÃO INOX	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000049	78338761	MESA MANIPULAÇÃO DE ALIMENTOS TAMPO EM ACO INOX 190X70	MESA MANIPULAÇÃO DE ALIMENTOS TAMPO EM ACO INOX 190X70	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000050	78339043	MICROCOMPUTADOR PORTATIL DELL INSPIRON 15  3520	MICROCOMPUTADOR PORTATIL DELL INSPIRON 15  3520	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000051	78338826	MICROCOMPUTADOR PORTATIL DELL INSPIRON 15 3511	MICROCOMPUTADOR PORTATIL DELL INSPIRON 15 3511	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000052	50347	MICRONEBULIZADOR 15 ML ADULTO	MICRONEBULIZADOR 15 ML ADULTO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000053	78338840	MOCHILA CAMPING TRILHA IMPERMEAVEL AZUL	MOCHILA CAMPING TRILHA IMPERMEAVEL AZUL	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000054	78339107	"MONITOR 19,5"" LED LG 20MK400H"	"MONITOR 19,5"" LED LG 20MK400H"	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000055	78338912	MOUSE S/FIO 1600 DPI AIRY	MOUSE S/FIO 1600 DPI AIRY	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000056	78338764	PE MESA AUXILIAR MX90/120/150-54 PADIN	PE MESA AUXILIAR MX90/120/150-54 PADIN	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000057	78338904	POLTRONA CAMA ARIM 850X850X1000 4 PES	POLTRONA CAMA ARIM 850X850X1000 4 PES	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000058	78338942	POTICHE FUL	POTICHE FUL	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000059	78338839	REFIL EF 500A BACTERIOLOGICO COMPATIVEL SOLF	REFIL EF 500A BACTERIOLOGICO COMPATIVEL SOLF	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
83	EQUIP000060	78335181	RESSUCITADOR - REANIMADOR DE BORRACHA ADULTO	RESSUCITADOR - REANIMADOR DE BORRACHA ADULTO	109	tYES	tNO	tYES	UN	UNIDADE	UN	1
