Code	Name	CashAccount	BudgetAccount	ActiveAccount	FatherAccountKey	ExternalCode	AccountType	ForeignName	Details	ProjectCode	LockManualTransaction														
1.01	ATIVO CIRCULANTE	tNO		tNO	100000000000000		at_Other																		
1.01.01	DISPONIBILIDADES	tNO		tNO	1.01		at_Other																		
1.01.01.01	CAIXA GERAL	tNO		tNO	1.01.01		at_Other																		
1.01.01.01.01	Caixinha	tYES		tYES	1.01.01.01		at_Other																		
1.01.01.02	BANCOS CONTA MOVIMENTO	tNO		tNO	1.01.01		at_Other																		
1.01.01.02.01	Bancos do Brasil - 91508-4	tYES		tYES	1.01.01.02		at_Other																		
1.01.01.02.02	Bancos Itau - 99668-6	tYES		tYES	1.01.01.02		at_Other																		
1.01.02	CONTAS A RECEBER	tNO		tNO	1.01		at_Other																		
1.01.02.01	DUPLICATAS A RECEBER	tNO		tNO	1.01.02		at_Other																		
1.01.02.01.01	Clientes PF	tNO		tYES	1.01.02.01		at_Other																		
1.01.02.01.02	Clientes Operadoras	tNO		tYES	1.01.02.01		at_Other																		
1.01.02.02	OPERAÇÕES COM PESSOAS LIGADAS	tNO		tNO	1.01.02		at_Other																		
1.01.02.02.01	Conta corrente sócios - CP	tNO		tYES	1.01.02.02		at_Other																		
1.01.03	ESTOQUES	tNO		tNO	1.01		at_Other																		
1.01.03.01	ESTOQUE CENTRAL	tNO		tNO	1.01.03		at_Other																		
1.01.03.01.01	Materiais	tNO		tYES	1.01.03.01		at_Other																		
1.01.03.01.02	Medicamentos	tNO		tYES	1.01.03.01		at_Other																		
1.01.03.02	MALAS	tNO		tNO	1.01.03		at_Other																		
1.01.03.03.01	Malas de Emergência	tNO		tYES	1.01.03.02		at_Other																		
1.01.03.02.02	Malas de Conforto	tNO		tYES	1.01.03.02		at_Other																		
1.01.03.03	ESTOQUE TRANSACIONADOS COM TERCEIROS	tNO		tNO	1.01.03		at_Other																		
1.01.03.03.01	Produtos emprestados	tNO		tYES	1.01.03.03		at_Other																		
1.01.03.03.01	Produtos a devolver	tNO		tYES	1.01.03.03		at_Other																		
1.02	ATIVO NÃO CIRCULANTE	tNO		tNO	100000000000000		at_Other																		
1.02.01	IMOBILIZADO VALOR DE CUSTO	tNO		tNO	1.02		at_Other																		
1.02.01.01	Bens	tNO		tYES	1.02.01		at_Other																		
1.02.01.02	Reformas	tNO		tYES	1.02.01		at_Other																		
2.01	PASSIVO CIRCULANTE	tNO		tNO	200000000000000		at_Other																		
2.01.01	OBRIGAÇÕES DE CURTO PRAZO	tNO		tNO	2.01		at_Other																		
2.01.01.01	FORNECEDORES	tNO		tNO	2.01.01		at_Other																		
2.01.01.01.01	Fornecedores de Materiais e Medicamentos	tNO		tYES	2.01.01.01		at_Other																		
2.01.01.01.02	Prestadores de Serviço	tNO		tYES	2.01.01.01		at_Other																		
2.01.01.02	OBRIGAÇÕES COM PESSOAL	tNO		tNO	2.01.01.02		at_Other																		
2.01.01.02.01	Salários a Pagar	tNO		tYES	2.01.01.02		at_Other																		
2.01.01.02.02	13º Salário a Pagar	tNO		tYES	2.01.01.02		at_Other																		
2.01.01.02.03	Honorários da Administração a Pagar	tNO		tYES	2.01.01.02		at_Other																		
2.01.01.02.04	Rescisões a Pagar	tNO		tYES	2.01.01.02		at_Other																		
2.01.01.02.05	Autônomos a Pagar	tNO		tYES	2.01.01.02		at_Other																		
2.01.01.02.06	Pro-Labore a Pagar	tNO		tYES	2.01.01.02		at_Other																		
2.01.01.03	ENCARGOS SOCIAIS A PAGAR	tNO		tNO	2.01.01		at_Other																		
2.01.01.03.01	INSS e IR a Recolher	tNO		tYES	2.01.01.03		at_Other																		
2.01.01.03.02	FGTS a Recolher	tNO		tYES	2.01.01.03		at_Other																		
2.01.01.04	PROVISÕES DE FÉRIAS	tNO		tNO	2.01.01		at_Other																		
2.01.01.04.01	Férias	tNO		tYES	2.01.01.04		at_Other																		
2.01.01.04.02	INSS e IR s/ Férias	tNO		tYES	2.01.01.04		at_Other																		
2.01.01.04.03	FGTS s/ Férias	tNO		tYES	2.01.01.04		at_Other																		
2.01.01.05	OBRIGAÇÕES TRIBUTÁRIAS	tNO		tNO	2.01.01		at_Other																		
2.01.01.05.01	PIS a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.02	COFINS a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.03	IRRF s/ Salários a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.04	IRRF s/ Prestação de Serviços a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.05	IRRF s/ Aluguel a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.06	CSLL a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.07	IRPJ a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.08	INSS Retido a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.09	PIS / COFINS / CSLL Retido a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.10	ISS a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.11	ISS Retido a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.12	Contribuição Sindical a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.05.13	Contribuição Assistencial a Recolher	tNO		tYES	2.01.01.05		at_Other																		
2.01.01.06	ADIANTAMENTO DE CLIENTES	tNO		tNO	2.01.01		at_Other																		
2.01.01.06.01	Clientes PF	tNO		tYES	2.01.01.06		at_Other																		
2.01.01.07	OUTRAS OBRIGAÇÕES	tNO		tNO	2.01.01		at_Other																		
2.01.01.07.01	Contas a Pagar diversas	tNO		tYES	2.01.01.07		at_Other																		
2.01.01.08	EMPRESTIMOS E FINANCIAMENTOS	tNO		tNO	2.01.01		at_Other																		
2.01.01.08.01	Banco Conta Garantida (Saldo Credor)	tYES		tYES	2.01.01.08		at_Other																		
2.01.01.08.02	Empréstimos para Capital de giro	tYES		tYES	2.01.01.08		at_Other																		
2.01.01.08.03	Empréstimos em Moeda Nacional	tYES		tYES	2.01.01.08		at_Other																		
2.02	PASSIVO NÂO CIRCULANTE	tNO		tNO	200000000000000		at_Other																		
2.02.01	EXIGÍVEL A LONGO PRAZO	tNO		tNO	2.02		at_Other																		
2.02.01.01	OBRIGAÇÕES TRIBUTÁRIAS	tNO		tNO	2.02.01		at_Other																		
2.02.01.01.01	Contribuição Previdenciária - INSS - Parcelamento	tNO		tYES	2.02.01.01		at_Other																		
2.02.01.02	EMPRÉSTIMOS DE SÓCIOS	tNO		tNO	2.02.01		at_Other																		
2.02.01.02.01	Ana Cláudia Quintana Arantes	tNO		tYES	2.02.01.02		at_Other																		
2.03	PATRIMÔNIO LÍQUIDO	tNO		tNO	200000000000000		at_Other																		
2.03.01	CAPITAL SOCIAL	tNO		tNO	2.03		at_Other																		
2.03.01.01	CAPITAL SOCIAL REALIZADO	tNO		tNO	2.03.01		at_Other																		
2.03.01.01.01	Capital Social Subscrito	tNO		tYES	2.03.01.01		at_Other																		
2.03.01.01.02	Aporte para futuro aumento de capital - AFAC	tNO		tYES	2.03.01.01		at_Other																		
2.03.02	RESERVAS	tNO		tNO	2.03		at_Other																		
2.03.02.01	RESERVAS DE LUCRO	tNO		tNO	2.03.02		at_Other																		
