CardCode;CardName
FOR000001;NURSE CARE - COM.LOC. DE EQUIPAMENTOS
FOR000002;EMPRESA HOME CARE
FOR000003;PARAMEDICA - SOC. COOP. TRAB. AUX. SERV. SAUDE
FOR000004;COPPERSAM - COOP.TRAB.PROF.ADM.APOIO TEC.NA A.DE SAUDE
FOR000005;MULTISA
FOR000006;PROMEHO - PROD. HOSPITALARES LTDA
FOR000007;OFFICE NET DO BRASIL S/A
FOR000008;SAGRA - PROD. FARMACEUTICOS LTDA
FOR000009;MELHORAMENTOS PAPEIS LTDA
FOR000010;AGA S/A
FOR000011;COML. COMMED PROD. HOSP. LTDA
FOR000012;GRANMED IND. E COM. LTDA
FOR000013;GLOBOMED COMERCIAL LTDA
FOR000014;DROGARIA SAKAMOTO
FOR000015;MEDICAL LINE COM.MAT. E MED.
FOR000016;INTERNATIONAL FARMA LTDA
FOR000017;RED FARMA - DISTRIBUIDORA LTDA
FOR000018;SANTA RITA - DISTR. PROD. FARMACEUTICOS LTDA
FOR000019;MACROMED - COM. MAT. MED. HOSPITALARES
FOR000020;FORMULA MEDICINAL FARM. MANIP. LTDA
FOR000021;GRAFICA MOZ LTDA
FOR000022;NUTRY MEDICAL COM. LTDA
FOR000023;NUTRIPORT COMERCIAL LTDA
FOR000024;CIRURGICA MAFRA DISTR.MED. PROD.
FOR000025;INTER-ACAO - SOC. COOP. TRABALHO PREST. SERVICOS NA AREA DE SAUDE
FOR000026;GABMED PROD. ESPECIFICOS LTDA
FOR000027;PERSONAL CARE SERV. MEDICOS LTDA
FOR000028;CIRURGICA FERNANDES LTDA
FOR000029;INTERLAB FARMACEUTICA LTDA
FOR000030;OPEM - REPRES.IMP. EXP. E DISTR. LTDA
FOR000031;COOPER TEAM - SOC.COOP. MULTIPROF.PREST. SERVIÇOS
FOR000032;CLINICA CIRURGICA PEDIATRICA ALBANY & BRAZ S/C LTDA
FOR000033;PHARMACIA BRASIL
FOR000034;ZEST  FARMACEUTICA
FOR000035;ROCHE
FOR000036;EMBRAMED
FOR000037;LOCASET LOCADORA DE APARELHOS LTDA
FOR000038;LUMIAR EQUIPAMENTOS MEDICOS
FOR000039;SANTA CATARINA
FOR000040;OXI AIR
FOR000041;MEDICAL LINE TRANSP LTDA
FOR000042;FORMULA MEDICINAL FARM. MANIP. LTDA
FOR000043;QUIMICA HALLER
FOR000044;QUIMICA HALLER
FOR000045;DE ANGELIS OXIGENOTERAPIA LTDA
FOR000046;HARTMANN IND. E COM. DE PROD. MEDICO-HOSPITALARES
FOR000047;SIBRATEL AUTOMAÇAO COMERCIAL LTDA
FOR000048;NOVAFARMA
FOR000049;BRISTOL-MYERS SQUIBB BRASIL S/A
FOR000050;DIPROMED COMERCIO E IMPORTACAO LTDA
FOR000051;CRISTALIA PROD QUIM FARMAC LTDA
FOR000052;BEKER PROD FARMO HOSPITALARES LTDA
FOR000053;NEWMED PROD. PARA SAUDE LTDA
FOR000054;SASAKI EMBALAGENS LTDA
FOR000055;DROGARIA SOARES LTDA
FOR000056;EXPOMED COMERCIO PROD. FARM LTDA
FOR000057;COMERCIO EXPORT. E IMPOR. DE MAT. MED. LTDA
FOR000058;SUNNYDAY IND. MANIPULACAO COM. LTDA
